Type de campagne,Date,Canal,Objectif,Audience ciblée,Likes,Commentaires,Partages,Save,Account Reached,Followers ,Non-Followers,Profile Activity,PA-Visits,PA-Follows,PA-External Link Tap,Observations,Budget
Picnic ,2024-07-20,Instagram/Facebook,,Grand Public ,161,2,9,5,1677,91.7,8.3,78,72,5,1,5 Followers ,
Journee de Consultation Camp Penal ,2024-08-10,Instagram/Facebook,Informer/Donation,Grand Public ,54,0,22,0,2225,22.4,77.6,56,5,1,0,Le fait qu'on aie touche 77.6% de Non Followers. 22 Shares ,
Campagne de Tchicky,2024-08-13,Instagram/Facebook,Informer ,Grand Public ,21,0,1,0,403,60.2,39.8,4,3,1,0,,
Photos Consultations camps penal,2024-08-19,Instagram/Facebook,Informer ,Grand Public ,136,0,2,1,1333,52,48,14,14,0,0,"Plus cest des photos, plus on reach people ",
Photos Campagne de Tchicky,2024-08-21,Instagram/Facebook,Informer ,Grand Public ,183,0,1,2,852,86.3,13.7,35,30,1,4,185 Account Engaged/852Account Reached,
Affiche Dons Pouponnieres,2024-09-16,Instagram/Facebook,Informer/Donation,Grand Public ,25,0,9,0,829,88.5,11.5,5,4,0,1,64 Non Followers ,
Don de sang ,2024-09-25,Instagram/Facebook,Sensibiliser ,Grand Public ,32,0,14,0,1811,14,86,14,14,0,,Non Followers Reached ,
Octobre Rose ,2024-10-08,Instagram/Facebook,Informer ,Grand Public ,42,1,14,0,1266,26,74,16,14,2,,,
Octobre Rose ,2024-10-19,Instagram/Facebook,Informer ,Grand Public ,19,0,1,0,2,94.7,5.3,1,1,0,0,,
Don de sang ,2024-10-29,Instagram/Facebook,Informer ,Grand Public ,63,0,67,2,6023,,,,,,,,
Don de sang ,2024-11-08,Instagram/Facebook,Sensibiliser ,Grand Public ,47,0,6,1,1369,,,,,,,1H45M2S,